set_id,method,scenario_count,timely_ratio_mean,timely_ratio_ci_low,timely_ratio_ci_high,conn_ratio_mean,bound_ratio_mean,gap_mean,gap_undefined_count,shortfall_mean,planning_runtime_s_mean,evaluation_runtime_s_per_realization_mean,bound_runtime_s_mean,union_bound_ratio_mean,union_gap_mean,evaluate_calls_mean
v0,B0,30,0.41333333333333333,0.31916666666666665,0.4866666666666665,0.5088888888888888,0.483202005046852,0.1708102588723033,0,21.489046007566174,9.12164687179029e-05,0.02781147708210887,0.3914746476085727,0.6880048328119837,0.4376841805986283,1.0
v0,B1,30,0.49433333333333335,0.3911923611111111,0.5815847222222222,1.0,0.6213419758133675,0.23756454978015965,0,19.50763590316057,0.13706170060128595,0.02822945587996704,2.3407093348643846,0.6880048328119837,0.3184560709387476,1.0
v0,B2,30,0.5514722222222221,0.44444374999999997,0.64105625,0.9995555555555556,0.6714807533086824,0.21025026792498647,0,15.498109028957348,150.05217839156685,0.047962651360948155,2.370816177443776,0.6880048328119837,0.229030670197062,1933.0666666666666
v0,B3,30,0.3673888888888889,0.2739166666666667,0.4514743055555555,0.9991851851851852,0.6579933631554175,0.4777269355162987,0,21.1651015160355,175.01066745720163,0.05483471466668157,2.415281354800714,0.6880048328119837,0.4968105561118416,2001.0
v0,P,30,0.5533055555555555,0.44496736111111107,0.6443333333333334,0.9995555555555556,0.671505947369731,0.2081614408753857,0,15.46652129892487,155.55956781209872,0.04639049451445721,2.4342590262621524,0.6880048328119837,0.22707838382469744,1973.0
v0,P_equal_bandwidth,30,0.5547222222222222,0.44672222222222224,0.6455638888888887,0.9995555555555556,nan,nan,30,15.358305012424562,74.74930049666824,0.0446308659943558,nan,0.6880048328119837,0.22437141684237014,957.5
v0,P_expected_design,30,0.5179722222222222,0.41574930555555556,0.6025027777777776,0.9995555555555556,nan,nan,30,16.26918910698544,30.361295529794493,0.048634671796753536,nan,0.6880048328119837,0.27671764349882816,1920.8
v0,P_fixed_paths,30,0.5035277777777778,0.39823541666666684,0.5919187499999999,0.9993333333333333,nan,nan,30,19.31718945761493,34.61846336746724,0.031128489188882266,nan,0.6880048328119837,0.3052524199199602,597.1333333333333
v0,P_fixed_trajectory,30,0.5052222222222222,0.39927638888888894,0.5951951388888889,1.0,nan,nan,30,17.46491048499244,126.39917772009697,0.04723933560780198,nan,0.6880048328119837,0.3035616817437962,1647.5
v0,P_no_backlog,30,0.55275,0.4443041666666666,0.6442527777777778,0.9995555555555556,nan,nan,30,15.445622561311229,156.62114049833423,0.04877466462775677,nan,0.6880048328119837,0.22794164100407108,1982.0333333333333
v0,P_op1,30,0.5529444444444445,0.4441111111111111,0.6452520833333334,0.9994814814814815,nan,nan,30,15.398941150515231,156.82743893909986,0.04972441853004663,nan,0.6880048328119837,0.22703048826645586,1960.7
v0,P_op2,30,0.5533611111111111,0.44541180555555554,0.6439722222222222,0.9995555555555556,nan,nan,30,15.459879603935502,155.1338282068949,0.045951603647813,nan,0.6880048328119837,0.22652142865852776,1961.1333333333334
v0-bh50,B0,30,0.37,0.2833333333333333,0.43666666666666665,0.5088888888888888,0.46775086091327034,0.22889429117414709,0,22.610360377769133,9.766493458300829e-05,0.02753444608666339,1.154741161893374,0.6546210967881829,0.4672721133183089,1.0
v0-bh50,B1,30,0.4301388888888889,0.3438319444444444,0.5001666666666666,1.0,0.5854645108864507,0.28699699971499093,0,21.297168917714846,0.12945294283660283,0.026799478614379445,4.879932826146962,0.6546210967881829,0.37094347938892874,1.0
v0-bh50,B2,30,0.5093611111111112,0.4167486111111111,0.5854166666666666,0.9995555555555556,0.6398356110804324,0.22746473554912375,0,16.744007114087495,138.6137137234667,0.04223283244442428,4.478815314308223,0.6546210967881829,0.2448477979223821,1921.8
v0-bh50,B3,30,0.3306111111111111,0.2697743055555556,0.38177777777777777,0.9996296296296295,0.637202122918028,0.4987622382844806,0,22.327938049139522,160.48979618746768,0.04680051054779647,4.376822282912779,0.6546210967881829,0.5117301414512522,2001.0
v0-bh50,P,30,0.5075,0.4149097222222224,0.5836944444444444,0.9995555555555556,0.6373280925557387,0.2276606686909756,0,16.908385461301044,138.7538901632642,0.0443255900777553,4.553554911472828,0.6546210967881829,0.2479380620169569,1900.9333333333334
v0-bh50,P_equal_bandwidth,30,0.51025,0.41616388888888883,0.5882527777777777,0.9996296296296295,nan,nan,30,16.869791283796005,70.63678640826741,0.04131585094007379,nan,0.6546210967881829,0.24552854757694914,999.6333333333333
v0-bh50,P_expected_design,30,0.481,0.3901652777777778,0.5559451388888889,0.9996296296296295,nan,nan,30,17.226302784242176,28.248241170097995,0.043175031804486126,nan,0.6546210967881829,0.29071146095490435,1941.4
v0-bh50,P_fixed_paths,30,0.44258333333333333,0.354388888888889,0.5146673611111111,0.9937777777777778,nan,nan,30,21.074234913315614,30.515974251698935,0.027865566432107396,nan,0.6546210967881829,0.3520268420212113,547.4
v0-bh50,P_fixed_trajectory,30,0.45905555555555555,0.36388888888888893,0.5367527777777777,1.0,nan,nan,30,18.879060919314504,114.67988353053127,0.043795220415631775,nan,0.6546210967881829,0.33235946323922627,1640.6
v0-bh50,P_no_backlog,30,0.5085555555555555,0.4157729166666667,0.5854729166666666,0.9995555555555556,nan,nan,30,16.84135587332945,136.58952141119806,0.042319084085659896,nan,0.6546210967881829,0.24671013230161778,1905.9
