set_id,scenario_id,topology_id,method,realization_id,alert_count,timely_count,timely_ratio,source_count,connected_count,conn_ratio,shortfall,planning_runtime_s,evaluation_runtime_s,evaluate_calls
v0,Agis-r0,Agis,B0,0,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,1,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,2,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,3,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,4,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,5,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,6,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,7,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,8,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,9,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,10,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,11,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,12,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,13,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,14,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,15,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,16,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,17,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,18,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,19,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
v0,Agis-r0,Agis,B0,20,40,14,0.35,15,7,0.4666666666666667,23.755079309372892,0.00013030701666139066,0.022069464700568156,1
