set_id,comparison,mean_difference,ci_low,ci_high,rank_biserial,p_value,p_holm,topology_count
v0,P - B2,0.0018333333333333424,-0.002611111111111086,0.006749999999999979,0.1111111111111111,0.50390625,1.0,10
v0,B2 - B1,0.057138888888888906,0.042583333333333404,0.07527847222222217,1.0,0.001953125,0.015625,10
v0,B2 - B3,0.18408333333333332,0.14369305555555556,0.22355763888888888,1.0,0.001953125,0.015625,10
v0,P - B1,0.058972222222222245,0.04286111111111114,0.07933333333333334,1.0,0.001953125,0.015625,10
v0-bh50,P - B2,-0.0018611111111110968,-0.007111111111111079,0.0024722222222222255,-0.37777777777777777,0.53125,1.0,10
v0-bh50,B2 - B1,0.0792222222222222,0.05802638888888889,0.10088888888888885,1.0,0.001953125,0.015625,10
v0-bh50,B2 - B3,0.17874999999999996,0.13666527777777782,0.21444444444444438,1.0,0.001953125,0.015625,10
v0-bh50,P - B1,0.0773611111111111,0.05863888888888892,0.09705624999999997,1.0,0.001953125,0.015625,10
