set_id,comparison,mean_difference,ci_low,ci_high,rank_biserial,p_value,p_holm,topology_count
v0,P - TRAN,0.02302777777777778,-0.024558333333333272,0.06486111111111108,0.38181818181818183,0.357421875,0.71484375,10
v0,B2 - TRAN,0.02119444444444444,-0.024973611111111096,0.060666666666666626,0.38181818181818183,0.380859375,0.71484375,10
v0-bh50,P - TRAN,0.06933333333333333,0.013554861111111129,0.11477777777777778,0.7090909090909091,0.037109375,0.1484375,10
v0-bh50,B2 - TRAN,0.07119444444444442,0.01475,0.11675069444444446,0.7090909090909091,0.041015625,0.1484375,10
