scenario_id,beta,alpha,r_squared,max_log_error
Bbnplanet-r0,0.0025263779258820626,3.3927745779021237,0.9943734044525611,0.4817474039654499
Bbnplanet-r1,0.0027892041742750887,3.408959623907265,0.994603236377797,0.46758817585619994
Canerie-r0,0.0029172371734691423,3.4163244997024007,0.9947064141121668,0.4612998146853329
Canerie-r1,0.002820529014516262,3.410790823830798,0.9946289775408816,0.4660156076470443
Fccn-r0,0.001888864502394049,3.345653308540909,0.9936854495499445,0.5256403458091263
Fccn-r1,0.001797933070816929,3.3377224792788938,0.9935676373053888,0.5334205453216008
