step,scenario_id,theta,mu,block_slots,status,iterations,relaxed_objective,penalty,planning_runtime_s,initial_timely_ratio,timely_ratio
runtime,Bbnplanet-r0,0.5,1.0,1,converged,27,19.477274436959586,-0.9572546629831222,141.2115952700001,0.2,0.3883333333333333
runtime,Bbnplanet-r1,0.5,1.0,1,converged,3,24.001804549644064,-0.09192537106590358,16.21393862800005,0.4891666666666667,0.6333333333333333
runtime,Canerie-r0,0.5,1.0,1,converged,24,31.16406043279892,-0.2679154300912645,127.0269482409999,0.37166666666666665,0.6466666666666666
runtime,Canerie-r1,0.5,1.0,1,converged,13,32.04343797860392,-0.25150288257812103,71.79850084700001,0.5783333333333334,0.7683333333333333
runtime,Fccn-r0,0.5,1.0,1,converged,27,14.419779373196862,-0.7176566675443986,154.87848081599986,0.02666666666666667,0.26
runtime,Fccn-r1,0.5,1.0,1,max_iterations,30,22.007247333917327,-0.5428194828901534,159.4898154389998,0.1375,0.49333333333333335
grid,Bbnplanet-r0,0.3333333333333333,1.0,1,converged,17,18.19714465376351,-0.6822419868567386,255.64066488299977,0.2,0.3725
grid,Bbnplanet-r0,0.3333333333333333,10.0,1,max_iterations,30,11.507441441430771,-0.7619285661815147,503.4481899060006,0.2,0.37
grid,Bbnplanet-r0,0.5,1.0,1,converged,27,19.477274436959586,-0.9572546629831222,141.2115952700001,0.2,0.3883333333333333
grid,Bbnplanet-r0,0.5,10.0,1,converged,22,11.23801551424308,-0.8364534347545713,380.8944976519997,0.2,0.4058333333333333
grid,Bbnplanet-r0,0.6666666666666666,1.0,1,max_iterations,30,19.167028646089108,-0.9581945958538538,422.99804353900026,0.2,0.38333333333333336
grid,Bbnplanet-r0,0.6666666666666666,10.0,1,converged,19,10.998822475358262,-0.8256897958453534,276.9926799169998,0.2,0.39166666666666666
grid,Bbnplanet-r1,0.3333333333333333,1.0,1,converged,7,25.01580679224834,-0.1467833979797099,87.51776507100021,0.47333333333333333,0.63
grid,Bbnplanet-r1,0.3333333333333333,10.0,1,converged,13,22.701449547165605,-0.2863263011156974,175.12335672300014,0.47333333333333333,0.6208333333333333
grid,Bbnplanet-r1,0.5,1.0,1,converged,3,24.001804549644064,-0.09192537106590358,16.21393862800005,0.4891666666666667,0.6333333333333333
grid,Bbnplanet-r1,0.5,10.0,1,converged,19,25.65503091312703,-0.038337410071234056,278.40426004100027,0.4891666666666667,0.6225
grid,Bbnplanet-r1,0.6666666666666666,1.0,1,converged,5,24.00064447092043,-0.07268821656997061,74.04724255099973,0.5008333333333334,0.6116666666666667
grid,Bbnplanet-r1,0.6666666666666666,10.0,1,converged,14,23.31072429507697,-0.07675839713385785,187.83438521800053,0.5008333333333334,0.625
grid,Canerie-r0,0.3333333333333333,1.0,1,converged,17,31.033233817728128,-0.16596351709978077,267.05498869500025,0.375,0.6875
grid,Canerie-r0,0.3333333333333333,10.0,1,converged,21,29.71365878956467,-0.14640514900147877,334.20228443299993,0.375,0.6958333333333333
grid,Canerie-r0,0.5,1.0,1,converged,24,31.16406043279892,-0.2679154300912645,127.0269482409999,0.37166666666666665,0.6466666666666666
grid,Canerie-r0,0.5,10.0,1,converged,16,22.59587492888774,-0.6641410346328658,252.15137335600002,0.37166666666666665,0.6108333333333333
grid,Canerie-r0,0.6666666666666666,1.0,1,converged,10,28.05828230914586,-0.3664090514725969,160.11744933900036,0.3541666666666667,0.6441666666666667
grid,Canerie-r0,0.6666666666666666,10.0,1,converged,29,25.932069815111703,-0.3588352519349501,325.69996026699937,0.3541666666666667,0.5975
grid,Canerie-r1,0.3333333333333333,1.0,1,converged,15,32.99993440520085,-0.025624012943169874,209.88626850299988,0.605,0.795
grid,Canerie-r1,0.3333333333333333,10.0,1,converged,14,32.98374122923063,-0.0014985114400193796,193.50757207900006,0.605,0.7991666666666667
grid,Canerie-r1,0.5,1.0,1,converged,13,32.04343797860392,-0.25150288257812103,71.79850084700001,0.5783333333333334,0.7683333333333333
grid,Canerie-r1,0.5,10.0,1,converged,23,30.313409940638586,-0.1950148950805557,345.10369372499963,0.5783333333333334,0.7616666666666667
grid,Canerie-r1,0.6666666666666666,1.0,1,converged,16,30.535089970429375,-0.4183855931465766,236.45935428899975,0.61,0.7316666666666667
grid,Canerie-r1,0.6666666666666666,10.0,1,converged,8,26.431715327144563,-0.32261574826039247,119.5857227360002,0.61,0.7325
grid,Fccn-r0,0.3333333333333333,1.0,1,max_iterations,30,16.710099956536066,-0.9027271675724525,521.3471248970004,0.07,0.29083333333333333
grid,Fccn-r0,0.3333333333333333,10.0,1,converged,20,7.33658648132651,-0.9798405615454311,363.9445378969999,0.07,0.28833333333333333
grid,Fccn-r0,0.5,1.0,1,converged,27,14.419779373196862,-0.7176566675443986,154.87848081599986,0.02666666666666667,0.26
grid,Fccn-r0,0.5,10.0,1,max_iterations,30,8.274861207939168,-0.6563534817856148,511.52461917599976,0.02666666666666667,0.2733333333333333
grid,Fccn-r0,0.6666666666666666,1.0,1,max_iterations,30,16.211016310644172,-0.5747394991641517,382.1379488249995,0.02666666666666667,0.26916666666666667
grid,Fccn-r0,0.6666666666666666,10.0,1,max_iterations,30,8.380075073403038,-0.6119844518695091,301.5746826759996,0.02666666666666667,0.23333333333333334
grid,Fccn-r1,0.3333333333333333,1.0,1,max_iterations,30,21.043583262603715,-0.5597624905425724,490.469085876,0.15,0.4716666666666667
grid,Fccn-r1,0.3333333333333333,10.0,1,converged,24,16.523845148641136,-0.4810993833843497,389.63101166700017,0.15,0.4875
grid,Fccn-r1,0.5,1.0,1,max_iterations,30,22.007247333917327,-0.5428194828901534,159.4898154389998,0.1375,0.49333333333333335
grid,Fccn-r1,0.5,10.0,1,converged,20,16.004820747853216,-0.5995668259408147,347.95311871600006,0.1375,0.5116666666666667
grid,Fccn-r1,0.6666666666666666,1.0,1,converged,24,20.083574754389737,-0.5168351596106192,336.24799923000046,0.11583333333333333,0.42833333333333334
