set_id,method,scenario_count,timely_ratio_mean,timely_ratio_ci_low,timely_ratio_ci_high,conn_ratio_mean,bound_ratio_mean,gap_mean,gap_undefined_count,shortfall_mean,planning_runtime_s_mean,evaluation_runtime_s_per_realization_mean,bound_runtime_s_mean
v0,B0,30,0.41333333333333333,0.31916666666666665,0.4866666666666665,0.5088888888888888,0.483202005046852,0.1708102588723033,0,21.489046007566174,0.0005484786010735358,0.03415058914106339,0.5240435637300834
v0,B1,30,0.49433333333333335,0.3911923611111111,0.5815847222222222,1.0,0.6213419758133675,0.23756454978015965,0,19.50763590316057,0.18273500666643183,0.03537465557108387,3.0687410760845686
v0-bh50,B0,30,0.37,0.2833333333333333,0.43666666666666665,0.5088888888888888,0.46775086091327034,0.22889429117414709,0,22.610360377769133,0.00020371893333503976,0.03302821202669293,1.8453727298588556
v0-bh50,B1,30,0.4301388888888889,0.3438319444444444,0.5001666666666666,1.0,0.5854645108864507,0.28699699971499093,0,21.297168917714846,0.1638400233995829,0.03336424315327248,7.0406106049756305
