set_id,method,scenario_count,timely_ratio_mean,timely_ratio_ci_low,timely_ratio_ci_high,conn_ratio_mean,bound_ratio_mean,gap_mean,gap_undefined_count,shortfall_mean,planning_runtime_s_mean,evaluation_runtime_s_per_realization_mean,bound_runtime_s_mean,union_bound_ratio_mean,union_gap_mean,evaluate_calls_mean
sens-alerts20,B1,10,0.4616666666666666,0.3644916666666667,0.5505000000000001,1.0,0.6043487319551152,0.25388395156086,0,10.512751642881959,0.07246911270194686,0.018481033693339366,0.7528511473131948,0.6043487319551152,0.25388395156086,1.0
sens-alerts20,B2,10,0.5191666666666667,0.4305,0.5948333333333332,1.0,nan,nan,10,8.094491669752971,84.22055406349537,0.03251168850324272,nan,0.6043487319551152,0.1476633350125786,1524.4
sens-alerts20,P,10,0.5161666666666667,0.4261666666666667,0.5928374999999999,1.0,nan,nan,10,8.15411301752471,90.05582486880886,0.03016603935335297,nan,0.6043487319551152,0.15356982072958938,1654.2
sens-alerts60,B1,10,0.44027777777777777,0.3462708333333334,0.5120569444444446,1.0,0.5862532821153632,0.27404922904398166,0,32.14744975839081,0.21711010520812124,0.033997516046705034,4.2211957567223,0.5862532821153632,0.27404922904398166,1.0
sens-alerts60,B2,10,0.4688888888888889,0.3748333333333333,0.5429458333333333,1.0,nan,nan,10,28.09276520107851,164.06629845949936,0.05054594582344483,nan,0.5862532821153632,0.22025863976409688,1926.8
sens-alerts60,P,10,0.46266666666666667,0.37083194444444445,0.5353333333333333,1.0,nan,nan,10,28.479157599376084,162.475230988604,0.050702468759845944,nan,0.5862532821153632,0.22973704192236216,1967.2
sens-bh100,B1,10,0.42975,0.3440750000000001,0.5040020833333333,1.0,0.5836786695412557,0.28149681894301154,0,21.91576922317098,0.13428608360409272,0.02555123479008519,2.2551766169529097,0.5836786695412557,0.28149681894301154,1.0
sens-bh100,B2,10,0.4770833333333333,0.3903333333333333,0.5491687499999999,0.9997777777777778,nan,nan,10,17.8735444299057,136.00832424599793,0.04210427819984034,nan,0.5836786695412557,0.19565328202675242,1873.4
sens-bh100,P,10,0.4763333333333334,0.3888333333333333,0.5502541666666666,0.9997777777777778,nan,nan,10,17.900481642910727,144.17876767830748,0.043295262549848605,nan,0.5836786695412557,0.19788998024589272,1958.8
sens-btot05,B1,10,0.44575000000000004,0.3541645833333334,0.5240854166666667,1.0,0.5970474236196678,0.2742568038603403,0,21.377727516354827,0.13723950160492676,0.025299110446843166,2.511791493599885,0.5970474236196678,0.2742568038603403,1.0
