set_id,scenario_id,topology_id,variant,trajectory_method,realization_id,value,ratio,status,runtime_s,variables,rows,nonzeros
sens-alerts20,Belnet2008-r0,Belnet2008,trajectory,B1,9,16.208189627871622,0.8104094813935812,optimal,0.6113485030073207,17440,38166,111120
sens-alerts20,Belnet2008-r0,Belnet2008,trajectory,B1,10,16.2436298781869,0.812181493909345,optimal,0.5810400979826227,17440,38166,111120
sens-alerts20,Belnet2008-r0,Belnet2008,trajectory,B1,11,15.784004474413209,0.7892002237206605,optimal,0.700052839005366,17440,38166,111120
sens-alerts20,Belnet2008-r0,Belnet2008,trajectory,B1,12,16.779480749194548,0.8389740374597274,optimal,0.6514164010004606,17440,38166,111120
sens-alerts20,Belnet2008-r0,Belnet2008,trajectory,B1,13,16.71309519214462,0.835654759607231,optimal,0.6489692319883034,17440,38166,111120
sens-alerts20,Belnet2008-r0,Belnet2008,trajectory,B1,14,15.794984085781238,0.7897492042890619,optimal,0.6881442139856517,17440,38166,111120
sens-alerts20,Belnet2008-r0,Belnet2008,trajectory,B1,15,16.631997773127814,0.8315998886563907,optimal,0.7109862140205223,17440,38166,111120
sens-alerts20,Belnet2008-r0,Belnet2008,trajectory,B1,16,16.000818439339678,0.800040921966984,optimal,0.6051325750013348,17440,38166,111120
sens-alerts20,Belnet2008-r0,Belnet2008,trajectory,B1,17,15.92666464821395,0.7963332324106975,optimal,0.7411661310179625,17440,38166,111120
sens-alerts20,Belnet2008-r0,Belnet2008,trajectory,B1,18,16.324289467033203,0.8162144733516602,optimal,0.8169383210188244,17440,38166,111120
sens-alerts20,Belnet2008-r0,Belnet2008,trajectory,B1,19,15.58272086980627,0.7791360434903135,optimal,0.6922965120174922,17440,38166,111120
sens-alerts20,Belnet2008-r0,Belnet2008,trajectory,B1,20,15.601048011919563,0.7800524005959781,optimal,0.6734958199958783,17440,38166,111120
sens-alerts20,Belnet2008-r0,Belnet2008,trajectory,B1,21,15.975933878108917,0.7987966939054458,optimal,0.6223463990027085,17440,38166,111120
sens-alerts20,Belnet2008-r0,Belnet2008,trajectory,B1,22,16.624468868655025,0.8312234434327512,optimal,0.7675879710004665,17440,38166,111120
sens-alerts20,Belnet2008-r0,Belnet2008,trajectory,B1,23,16.377278464724093,0.8188639232362046,optimal,0.6845682889979798,17440,38166,111120
sens-alerts20,Belnet2008-r0,Belnet2008,trajectory,B1,24,15.654605936161293,0.7827302968080646,optimal,0.675056368985679,17440,38166,111120
